     1.00000     1.00000    -1.00000    -0.11797
     1.01000     1.00000    -1.00000    -0.12302
     1.02000     1.00000    -1.00000    -0.12749
     1.03000     1.00000    -1.00000    -0.13296
     1.04000     1.00000    -1.00000    -0.13768
     1.05000     1.00000    -1.00000    -0.14296
     1.06000     1.00000    -1.00000    -0.14840
     1.07000     1.00000    -1.00000    -0.15362
     1.08000     1.00000    -1.00000    -0.15909
     1.09000     1.00000    -1.00000    -0.16432
     1.10000     1.00000    -1.00000    -0.16968
     1.20000     1.00000    -1.00000    -0.21926
     1.30000     1.00000    -1.00000    -0.26359
     1.40000     1.00000    -1.00000    -0.30313
     1.50000     1.10000    -1.00000    -0.33873
     1.60000     1.70000    -1.00000    -0.37051
     1.70000     3.00000    -1.00000    -0.39925
     1.80000     4.00000    -1.00000    -0.42550
     1.90000     5.00000    -1.00000    -0.44862
     2.00000     5.00000    -1.00000    -0.47034
     3.00000     9.00000    -1.00000    -0.62833
     4.00000     9.00000    -1.00000    -0.73125
     5.00000     9.00000    -1.00000    -0.80302
     1.00000     1.00000    -0.90000    -0.10954
     1.01000     1.00000    -0.90000    -0.11346
     1.02000     1.00000    -0.90000    -0.11771
     1.03000     1.00000    -0.90000    -0.12249
     1.04000     1.00000    -0.90000    -0.12711
     1.05000     1.00000    -0.90000    -0.13185
     1.06000     1.00000    -0.90000    -0.13681
     1.07000     1.00000    -0.90000    -0.14150
     1.08000     1.00000    -0.90000    -0.14621
     1.09000     1.00000    -0.90000    -0.15129
     1.10000     1.00000    -0.90000    -0.15590
     1.20000     1.00000    -0.90000    -0.20110
     1.30000     1.00000    -0.90000    -0.24086
     1.40000     1.00000    -0.90000    -0.27637
     1.50000     1.00000    -0.90000    -0.30779
     1.60000     1.50000    -0.90000    -0.33618
     1.70000     1.80000    -0.90000    -0.36206
     1.80000     3.00000    -0.90000    -0.38427
     1.90000     5.00000    -0.90000    -0.40513
     2.00000     6.00000    -0.90000    -0.42419
     3.00000     9.00000    -0.90000    -0.55666
     4.00000     9.00000    -0.90000    -0.63979
     5.00000     9.00000    -0.90000    -0.69590
     1.00000     1.00000    -0.80000    -0.10026
     1.01000     1.00000    -0.80000    -0.10379
     1.02000     1.00000    -0.80000    -0.10770
     1.03000     1.00000    -0.80000    -0.11210
     1.04000     1.00000    -0.80000    -0.11571
     1.05000     1.00000    -0.80000    -0.12043
     1.06000     1.00000    -0.80000    -0.12479
     1.07000     1.00000    -0.80000    -0.12899
     1.08000     1.00000    -0.80000    -0.13312
     1.09000     1.00000    -0.80000    -0.13760
     1.10000     1.00000    -0.80000    -0.14185
     1.20000     1.00000    -0.80000    -0.18159
     1.30000     1.00000    -0.80000    -0.21756
     1.40000     1.00000    -0.80000    -0.24897
     1.50000     1.00000    -0.80000    -0.27703
     1.60000     1.40000    -0.80000    -0.30225
     1.70000     2.00000    -0.80000    -0.32411
     1.80000     3.00000    -0.80000    -0.34456
     1.90000     4.00000    -0.80000    -0.36287
     2.00000     4.00000    -0.80000    -0.37894
     3.00000     9.00000    -0.80000    -0.49183
     4.00000     9.00000    -0.80000    -0.55952
     5.00000     9.00000    -0.80000    -0.60510
     1.00000     1.00000    -0.70000    -0.09123
     1.01000     1.00000    -0.70000    -0.09416
     1.02000     1.00000    -0.70000    -0.09722
     1.03000     1.00000    -0.70000    -0.10059
     1.04000     1.00000    -0.70000    -0.10437
     1.05000     1.00000    -0.70000    -0.10824
     1.06000     1.00000    -0.70000    -0.11240
