     1.00000     1.00000    -1.00000     0.16616     0.15287
     1.01000     1.00000    -1.00000     0.17727     0.16317
     1.02000     1.00000    -1.00000     0.18788     0.17301
     1.03000     1.00000    -1.00000     0.19853     0.18288
     1.04000     1.00000    -1.00000     0.20884     0.19243
     1.05000     1.00000    -1.00000     0.21908     0.20191
     1.06000     1.00000    -1.00000     0.22931     0.21139
     1.07000     1.00000    -1.00000     0.23901     0.22037
     1.08000     1.00000    -1.00000     0.24858     0.22924
     1.09000     1.00000    -1.00000     0.25801     0.23797
     1.10000     1.00000    -1.00000     0.26731     0.24660
     1.20000     1.00000    -1.00000     0.35087     0.32438
     1.30000     1.00000    -1.00000     0.41894     0.38862
     1.40000     1.00000    -1.00000     0.47463     0.44204
     1.50000     1.10000    -1.00000     0.54587     0.51047
     1.60000     1.70000    -1.00000     0.72848     0.68419
     1.70000     3.00000    -1.00000     1.02109     0.96325
     1.80000     4.00000    -1.00000     1.23090     1.16566
     1.90000     5.00000    -1.00000     1.42588     1.35493
     2.00000     5.00000    -1.00000     1.47325     1.40371
     3.00000     9.00000    -1.00000     2.32859     2.26126
     4.00000     9.00000    -1.00000     2.50111     2.44938
     5.00000     9.00000    -1.00000     2.60057     2.55741
     1.00000     1.00000    -0.90000     0.16624     0.15294
     1.01000     1.00000    -0.90000     0.17714     0.16305
     1.02000     1.00000    -0.90000     0.18797     0.17309
     1.03000     1.00000    -0.90000     0.19858     0.18293
     1.04000     1.00000    -0.90000     0.20889     0.19248
     1.05000     1.00000    -0.90000     0.21930     0.20211
     1.06000     1.00000    -0.90000     0.22912     0.21122
     1.07000     1.00000    -0.90000     0.23893     0.22030
     1.08000     1.00000    -0.90000     0.24857     0.22923
     1.09000     1.00000    -0.90000     0.25813     0.23808
     1.10000     1.00000    -0.90000     0.26738     0.24665
     1.20000     1.00000    -0.90000     0.35095     0.32445
     1.30000     1.00000    -0.90000     0.41915     0.38880
     1.40000     1.00000    -0.90000     0.47456     0.44198
     1.50000     1.00000    -0.90000     0.52040     0.48660
     1.60000     1.50000    -0.90000     0.68447     0.64277
     1.70000     1.80000    -0.90000     0.79330     0.74781
     1.80000     3.00000    -0.90000     1.06906     1.01181
     1.90000     5.00000    -0.90000     1.42568     1.35489
     2.00000     6.00000    -0.90000     1.60880     1.53370
     3.00000     9.00000    -0.90000     2.32792     2.26111
     4.00000     9.00000    -0.90000     2.50026     2.44974
     5.00000     9.00000    -0.90000     2.59843     2.55775
     1.00000     1.00000    -0.80000     0.16629     0.15299
     1.01000     1.00000    -0.80000     0.17725     0.16315
     1.02000     1.00000    -0.80000     0.18791     0.17303
     1.03000     1.00000    -0.80000     0.19856     0.18291
     1.04000     1.00000    -0.80000     0.20888     0.19248
     1.05000     1.00000    -0.80000     0.21923     0.20204
     1.06000     1.00000    -0.80000     0.22913     0.21124
     1.07000     1.00000    -0.80000     0.23904     0.22038
     1.08000     1.00000    -0.80000     0.24861     0.22926
     1.09000     1.00000    -0.80000     0.25818     0.23812
     1.10000     1.00000    -0.80000     0.26739     0.24666
     1.20000     1.00000    -0.80000     0.35080     0.32430
     1.30000     1.00000    -0.80000     0.41909     0.38877
     1.40000     1.00000    -0.80000     0.47446     0.44187
     1.50000     1.00000    -0.80000     0.52045     0.48666
     1.60000     1.40000    -0.80000     0.66127     0.62097
     1.70000     2.00000    -0.80000     0.83556     0.78777
     1.80000     3.00000    -0.80000     1.06902     1.01184
     1.90000     4.00000    -0.80000     1.27905     1.21502
     2.00000     4.00000    -0.80000     1.32178     1.25899
     3.00000     9.00000    -0.80000     2.32759     2.26125
     4.00000     9.00000    -0.80000     2.49969     2.44979
     5.00000     9.00000    -0.80000     2.59744     2.55803
     1.00000     1.00000    -0.70000     0.16641     0.15309
