     1.01000    -1.00000    -0.09531
     1.01000    -0.90000    -0.09059
     1.01000    -0.80000    -0.08558
     1.01000    -0.70000    -0.07978
     1.01000    -0.60000    -0.07308
     1.01000    -0.50000    -0.06532
     1.01000    -0.40000    -0.05675
     1.01000    -0.30000    -0.04680
     1.01000    -0.20000    -0.03414
     1.02000    -0.10000    -0.02009
     1.02000     0.00000    -0.00107
     1.01000     0.10000     0.02185
     1.02000     0.20000     0.05063
     1.03000     0.30000     0.09153
     1.03000     0.40000     0.14605
     1.04000     0.50000     0.22383
     1.05000     0.60000     0.34362
     1.04000     0.70000     0.51804
     1.04000     0.80000     0.74716
     1.04000     0.90000     0.91950
