     1.00000    -1.00000    -0.09839
     1.01000    -1.00000    -0.09531
     1.02000    -1.00000    -0.09640
     1.03000    -1.00000    -0.09790
     1.04000    -1.00000    -0.10029
     1.05000    -1.00000    -0.10294
     1.06000    -1.00000    -0.10592
     1.07000    -1.00000    -0.10869
     1.08000    -1.00000    -0.11150
     1.09000    -1.00000    -0.11451
     1.10000    -1.00000    -0.11755
     1.00000    -0.90000    -0.09275
     1.01000    -0.90000    -0.09059
     1.02000    -0.90000    -0.09166
     1.03000    -0.90000    -0.09322
     1.04000    -0.90000    -0.09538
     1.05000    -0.90000    -0.09810
     1.06000    -0.90000    -0.10055
     1.07000    -0.90000    -0.10324
     1.08000    -0.90000    -0.10566
     1.09000    -0.90000    -0.10874
     1.10000    -0.90000    -0.11161
     1.00000    -0.80000    -0.08731
     1.01000    -0.80000    -0.08558
     1.02000    -0.80000    -0.08607
     1.03000    -0.80000    -0.08788
     1.04000    -0.80000    -0.08988
     1.05000    -0.80000    -0.09217
     1.06000    -0.80000    -0.09440
     1.07000    -0.80000    -0.09709
     1.08000    -0.80000    -0.09980
     1.09000    -0.80000    -0.10224
     1.10000    -0.80000    -0.10497
     1.00000    -0.70000    -0.09200
     1.01000    -0.70000    -0.07978
     1.02000    -0.70000    -0.08025
     1.03000    -0.70000    -0.08170
     1.04000    -0.70000    -0.08334
     1.05000    -0.70000    -0.08572
     1.06000    -0.70000    -0.08815
     1.07000    -0.70000    -0.09023
     1.08000    -0.70000    -0.09275
     1.09000    -0.70000    -0.09491
     1.10000    -0.70000    -0.09752
     1.00000    -0.60000    -0.07556
     1.01000    -0.60000    -0.07308
     1.02000    -0.60000    -0.07351
     1.03000    -0.60000    -0.07476
     1.04000    -0.60000    -0.07633
     1.05000    -0.60000    -0.07864
     1.06000    -0.60000    -0.08039
     1.07000    -0.60000    -0.08250
     1.08000    -0.60000    -0.08470
     1.09000    -0.60000    -0.08685
     1.10000    -0.60000    -0.08900
     1.00000    -0.50000    -0.06710
     1.01000    -0.50000    -0.06532
     1.02000    -0.50000    -0.06591
     1.03000    -0.50000    -0.06681
     1.04000    -0.50000    -0.06844
     1.05000    -0.50000    -0.06972
